test,min_adult_age,max_adult_age,low_F,low_M,high_F,high_M
BE,0.0,120.0,-1.0,-1.0,1.0,1.0
BILA,0.0,120.0,1.0,1.0,10.0,10.0
BILC,18.0,120.0,0.0,0.0,6.8,6.8
BILR,0.0,120.0,0.0,0.0,16.9,16.9
BIOD,0.0,120.0,2.6,2.6,7.0,7.0
BIOT,0.0,120.0,2.0,2.0,6.0,6.0
BLAC,0.0,120.0,0.6,0.6,1.6,1.6
BLT,0.0,120.0,0.0,0.0,10.0,10.0
BOB,0.0,120.0,0.03,0.03,0.3,0.3
BPH,0.0,120.0,7.38,7.38,7.42,7.42
C125,0.0,120.0,0.0,0.0,35.0,35.0
C153,0.0,120.0,0.0,0.0,30.0,30.0
C19%,16.0,50.0,70.0,70.0,650.0,650.0
C19%,50.0,110.0,60.0,60.0,500.0,500.0
C199,0.0,120.0,0.0,0.0,37.0,37.0
C1EF,0.0,120.0,41.0,41.0,100.0,100.0
C1EI,0.0,120.0,0.15,0.15,0.35,0.35
C3,18.0,120.0,0.83,0.82,1.93,1.85
C3%,16.0,50.0,800.0,800.0,2600.0,2600.0
C3%,50.0,110.0,550.0,550.0,2400.0,2400.0
C4,18.0,120.0,0.15,0.15,0.57,0.53
C8%,16.0,50.0,250.0,250.0,1100.0,1100.0
C8%,50.0,110.0,150.0,150.0,1200.0,1200.0
CA24,0.0,120.0,2.5,2.5,7.5,7.5
CAER,18.0,120.0,0.2,0.2,0.6,0.6
CAFP,0.0,120.0,0.0,0.0,2.9,2.9
CAL,18.0,120.0,2.2,2.2,2.6,2.6
CALP,0.0,120.0,0.0,0.0,50.0,50.0
CALT,0.0,120.0,0.0,0.0,4.8,11.8
CARA,0.0,120.0,0.0,0.0,0.25,0.25
CARB,0.0,120.0,4.0,4.0,12.0,12.0
CBIL,18.0,120.0,0.0,0.0,8.6,8.6
CC,31.0,41.0,75.0,82.0,128.0,140.0
CC,41.0,51.0,69.0,75.0,122.0,133.0
CC,51.0,61.0,64.0,68.0,116.0,126.0
CC,61.0,71.0,58.0,61.0,110.0,120.0
CC,71.0,81.0,52.0,55.0,105.0,113.0
CC3,0.0,120.0,0.74,0.74,1.66,1.66
CC4,0.0,120.0,0.13,0.13,0.55,0.55
CD19,16.0,50.0,0.07,0.07,0.65,0.65
CD19,50.0,110.0,0.06,0.06,0.5,0.5
CD3,16.0,50.0,0.8,0.8,2.6,2.6
CD3,50.0,110.0,0.55,0.55,2.4,2.4
CD4,16.0,50.0,0.45,0.45,1.7,1.7
CD4,50.0,110.0,0.32,0.32,1.5,1.5
CD4C,16.0,50.0,450.0,450.0,1700.0,1700.0
CD4C,50.0,110.0,320.0,320.0,1500.0,1500.0
CD8,16.0,50.0,0.25,0.25,1.1,1.1
CD8,50.0,110.0,0.15,0.15,1.2,1.2
CEA,0.0,120.0,0.0,0.0,5.0,5.0
CG,15.0,120.0,2.22,2.22,3.89,3.89
CGFR,0.0,120.0,90.0,90.0,99999.0,99999.0
CHC1,0.0,120.0,316.0,316.0,349.0,349.0
CHCG,0.0,120.0,0.0,0.0,1.9,1.9
CHO,18.0,120.0,0.0,0.0,5.17,5.17
CHRA,0.0,120.0,0.0,0.0,60.0,60.0
CHRB,0.0,120.0,0.0,0.0,150.0,150.0
CK,0.0,120.0,25.0,40.0,200.0,320.0
CL,0.0,120.0,95.0,95.0,108.0,108.0
CLAC,18.0,120.0,1.1,1.1,2.4,2.4
CLON,0.0,120.0,80.0,80.0,270.0,270.0
CO24,0.0,120.0,100.0,100.0,300.0,300.0
CR24,0.0,120.0,6.3,6.3,14.6,14.6
CREA,18.0,120.0,50.4,63.6,98.1,110.5
CRP,0.0,120.0,0.0,0.0,5.1,5.1
CRPT,0.0,120.0,0.0,0.0,5.1,5.1
CSAL,0.0,120.0,12.0,12.0,42.0,42.0
CSGL,0.0,120.0,1.0,1.0,11.0,11.0
CSPR,0.0,120.0,0.009,0.009,0.05,0.05
CSSE,5.0,120.0,17.0,17.0,45.0,45.0
CSTH,0.0,120.0,11.0,11.0,56.0,56.0
CTP,0.0,120.0,0.15,0.15,0.45,0.45
CTPA,0.0,120.0,0.15,0.15,0.45,0.45
CU,0.0,120.0,11.0,11.0,25.1,25.1
CYCB,0.0,120.0,100.0,100.0,225.0,225.0
CYSC,49.0,120.0,0.61,0.61,1.4,1.4
DDIM,0.0,120.0,0.0,0.0,231.0,231.0
DDNA,0.0,120.0,0.0,0.0,20.0,20.0
DEOX,0.0,120.0,0.6,0.6,2.8,2.8
DHES,14.0,19.0,1.7,1.2,13.4,10.4
DHES,19.0,24.0,3.6,6.5,11.1,14.6
DHES,24.0,34.0,2.6,4.6,13.9,16.1
DHES,34.0,44.0,2.0,3.8,11.1,13.1
DHES,44.0,54.0,1.5,3.7,7.7,12.1
DHES,54.0,64.0,0.8,1.3,4.9,9.8
DHES,64.0,120.0,0.9,6.2,2.1,7.7
DIB,0.0,120.0,72.0,72.0,83.0,83.0
DIG,0.0,120.0,0.5,0.5,2.0,2.0
DOP,18.0,120.0,0.0,0.0,300.0,300.0
DRVV,0.0,120.0,0.8,0.8,1.2,1.2
DSOD,0.0,120.0,146.0,146.0,157.0,157.0
E2,14.0,19.0,0.0,,936.0,
E2,15.0,19.0,,0.0,,141.0
E2,19.0,120.0,,40.0,,161.0
ECRE,18.0,120.0,49.0,64.0,90.0,104.0
ELT,0.0,120.0,90.0,90.0,300.0,300.0
EOSI,16.0,120.0,0.03,0.03,0.46,0.46
EPO,0.0,120.0,5.0,5.0,25.0,25.0
ESR,25.0,34.0,2.0,2.0,15.0,9.0
ESR,34.0,44.0,2.0,2.0,15.0,10.0
ESR,44.0,54.0,2.0,2.0,20.0,13.0
ESR,54.0,64.0,2.0,2.0,25.0,20.0
ESR,64.0,67.0,2.0,2.0,27.0,25.0
ESR,67.0,71.0,2.0,2.0,30.0,30.0
ESR,71.0,120.0,2.0,2.0,36.0,50.0
ETXM,0.0,120.0,0.0,0.0,700.0,700.0
F10,0.0,120.0,72.0,72.0,145.0,145.0
F11,0.0,120.0,67.0,67.0,127.0,127.0
F12,0.0,120.0,52.0,52.0,164.0,164.0
F13,0.0,120.0,50.0,50.0,150.0,150.0
F13A,0.0,120.0,50.0,50.0,150.0,150.0
F13B,0.0,120.0,50.0,50.0,150.0,150.0
F2,0.0,120.0,80.0,80.0,135.0,135.0
F5,0.0,120.0,88.0,88.0,142.0,142.0
F7,0.0,120.0,66.0,66.0,163.0,163.0
F8,0.0,120.0,50.0,50.0,150.0,150.0
F8VW,0.0,120.0,0.75,0.75,1.3,1.3
F9,0.0,120.0,55.0,55.0,163.0,163.0
F9CA,0.0,120.0,0.75,0.75,1.3,1.3
FA1A,0.0,120.0,0.0,0.0,0.48,0.48
FAI,0.0,120.0,,20.4,,81.2
FAI,50.0,120.0,0.6,,8.0,
FAIX,0.0,120.0,,20.4,,81.2
FAIX,50.0,120.0,0.6,,8.0,
