"TestFormatRangeID","ActiveRange","TestFormatCode","PrimaryCode","ConditionalCode","ConditionalValue","Fasting","Sex","Age","AgeUnits","RangeDescription","PhoneRangeLow","PhoneRangeHigh","FlagRangeLow","FlagRangeHigh","AlertRangeLow","AlertRangeHigh","AuthorisationRangeLow","AuthorisationRangeHigh","DateValidFrom"
"27","True","HB1","False","","","False","","29","D","(101-183)","","","101.0000","183.0000","","","101.0000","183.0000",""
"28","True","HB1","False","","","False","","2","M","(90-140)","","","90.0000","140.0000","","","90.0000","175.0000",""
"29","True","HB1","False","","","False","","6","M","(89-141)","","","90.0000","141.0000","","","89.0000","175.0000",""
"30","True","HB1","False","","","False","","2","Y","(97-151)","","","97.0000","151.0000","","","97.0000","175.0000",""
"31","True","HB1","False","","","False","","6","Y","(96-148)","","","96.0000","148.0000","","","96.0000","175.0000",""
"32","True","HB1","False","","","False","","12","Y","(107-154)","","","107.0000","154.0000","","","107.0000","175.0000",""
"33","True","HB1","False","","","False","F","18","Y","(117-154)","","","117.0000","154.0000","","","110.0000","175.0000",""
"34","True","HB1","False","","","False","M","18","Y","(115-170)","","","115.0000","170.0000","","","110.0000","175.0000",""
"35","True","HB1","False","","","False","F","49","Y","(120-160)","","","120.0000","160.0000","","","110.0000","175.0000",""
"36","True","HB1","False","","","False","M","49","Y","(135-180)","","","135.0000","180.0000","","","110.0000","175.0000",""
"37","True","HB1","False","","","False","F","120","Y","(118-148)","","","118.0000","148.0000","","","110.0000","175.0000",""
"38","True","HB1","False","","","False","M","120","Y","(133-167)","","","133.0000","167.0000","","","110.0000","175.0000",""
"39","True","PLT","True","","","False","","","","(150-400)","","","150.0000","400.0000","","","140.0000","800.0000",""
"40","True","RBC","True","","","False","","1","D","(3.5-6.7)","","","3.5000","6.7000","","","2.5000","6.7000",""
"41","True","RBC","False","","","False","","29","D","(2.8-6.5)","","","2.8000","6.5000","","","2.5000","6.5000",""
"42","True","RBC","False","","","False","","1","Y","(2.6-5.5)","","","2.6000","5.5000","","","2.5000","6.0000",""
"43","True","RBC","False","","","False","","10","Y","(4.1-5.3)","","","4.1000","5.3000","","","2.5000","6.0000",""
"44","True","RBC","False","","","False","F","120","Y","(3.9-5.0)","","","3.9000","5.0000","","","2.5000","6.0000",""
"45","True","RBC","False","","","False","M","120","Y","(4.3-5.7)","","","4.3000","5.7000","","","2.5000","6.0000",""
"46","True","HCT","True","","","False","","1","D","(0.47-0.59)","","",".4700",".5900","","",".2500",".5900",""
"47","True","HCT","False","","","False","","3","M","(0.26-0.70)","","",".2600",".7000","","",".2500",".7000",""
"48","True","HCT","False","","","False","","6","Y","(0.27-0.44)","","",".2700",".4400","","",".2500",".4900",""
"49","True","HCT","False","","","False","","12","Y","(0.34-0.42)","","",".3400",".4200","","",".2500",".4900",""
"50","True","HCT","False","","","False","F","120","Y","(0.36-0.44)","","",".3600",".4400","","",".2500",".4900",""
"51","True","HCT","False","","","False","M","120","Y","(0.39-0.50)","","",".3900",".5000","","",".2500",".5000",""
"52","True","MCV","True","","","False","","1","D","(90-118)","","","90.0000","118.0000","","","70.0000","118.0000",""
"53","True","MCV","False","","","False","","3","M","(75-125)","","","75.0000","125.0000","","","70.0000","125.0000",""
"54","True","MCV","False","","","False","","1","Y","(68-103)","","","68.0000","103.0000","","","68.0000","104.0000",""
"55","True","MCV","False","","","False","","6","Y","(71-86)","","","71.0000","86.0000","","","70.0000","104.0000",""
"56","True","MCV","False","","","False","","12","Y","(75-91)","","","75.0000","91.0000","","","70.0000","104.0000",""
"57","True","MCV","False","","","False","F","120","Y","(77-98)","","","77.0000","98.0000","","","70.0000","104.0000",""
"58","True","MCV","False","","","False","M","120","Y","(77-98)","","","77.0000","98.0000","","","70.0000","104.0000",""
"59","True","MCH","True","","","False","","3","M","(26-40)","","","26.0000","40.0000","","","20.0000","42.0000",""
"60","True","MCH","False","","","False","","6","Y","(23-35)","","","23.0000","35.0000","","","20.0000","42.0000",""
"61","True","MCH","False","","","False","","12","Y","(25-33)","","","25.0000","33.0000","","","20.0000","42.0000",""
"62","True","MCH","False","","","False","","120","Y","(27.3-32.6)","","","27.3000","32.6000","","","20.0000","42.0000",""
"63","True","MCHC","True","","","False","","","","(31.6-34.9)","","","31.6000","34.9000","","","28.0000","37.0000",""
"64","True","CHC1","True","","","False","","","","(316-349)","","","316.0000","349.0000","","","280.0000","370.0000",""
"65","True","RDW","True","","","False","","","","","","","","","","","1.0000","100.0000",""
"66","True","MPV","True","","","False","","","","(7.2-11.1)","","","","","","","","","2009-10-12"
"67","True","PDW","True","","","False","","","","","","","","","","","1.0000","100.0000",""
"68","True","DIFF","True","","","False","","","","","","","","","","","","",""
"69","True","NEUT","True","","","False","","1","D","(1.7-23.0)","","","1.7000","23.0000","","","1.5000","30.0000",""
"70","True","NEUT","False","","","False","","3","D","(3.8-17.1)","","","3.8000","17.1000","","","1.5000","30.0000",""
"71","True","NEUT","False","","","False","","1","Y","(1.3-9.4)","","","1.3000","9.4000","","","1.3000","30.0000",""
"72","True","NEUT","False","","","False","","6","Y","(1.5-7.7)","","","1.5000","7.7000","","","1.5000","30.0000",""
"73","True","NEUT","False","","","False","","16","Y","(1.4-5.9)","","","1.4000","5.9000","","","1.4000","30.0000",""
"74","True","NEUT","False","","","False","","120","Y","(1.7-7.5)","","","1.7000","7.5000","","","1.5000","30.0000",""
"75","True","LYMP","True","","","False","","1","D","(1.0-11.0)","","","1.0000","11.0000","","",".0000","11.0000",""
"76","True","LYMP","False","","","False","","3","D","(2.0-7.3)","","","2.0000","7.3000","","",".0000","7.3000",""
"77","True","LYMP","False","","","False","","1","Y","(1.9-13.5)","","","1.9000","13.5000","","",".0000","13.5000",""
"78","True","LYMP","False","","","False","","6","Y","(1.6-8.6)","","","1.6000","8.6000","","",".0000","8.6000",""
"79","True","LYMP","False","","","False","","16","Y","(1.4-4.3)","","","1.4000","4.3000","","",".0000","4.5000",""
"80","True","LYMP","False","","","False","","120","Y","(1.0-3.2)","","","1.0000","3.2000","","",".0000","4.5000",""
"81","True","MONO","True","","","False","","1","D","(0.1-3.7)","","",".1000","3.7000","","",".0000","1.5000",""
"82","True","MONO","False","","","False","","3","D","(0.1-1.9)","","",".1000","1.9000","","",".0000","1.5000",""
"83","True","MONO","False","","","False","","1","Y","(0.1-1.8)","","",".1000","1.8000","","",".0000","1.5000",""
"84","True","MONO","False","","","False","","16","Y","(0.1-1.3)","","",".1000","1.3000","","",".0000","1.5000",""
"85","True","MONO","False","","","False","","120","Y","(0.2-0.6)","","",".2000",".6000","","",".0000","1.5000",""
"86","True","EOSI","True","","","False","","1","D","(0.1-2.0)","","",".1000","2.0000","","",".0000","2.0000",""
"87","True","EOSI","False","","","False","","3","D","(0.1-0.8)","","",".1000",".8000","","",".0000","2.0000",""
"88","True","EOSI","False","","","False","","1","Y","(0.1-0.9)","","",".1000",".9000","","",".0000","2.0000",""
"89","True","EOSI","False","","","False","","6","Y","(0.1-1.4)","","",".1000","1.4000","","",".0000","2.0000",""
"90","True","EOSI","False","","","False","","16","Y","(0.1-1.0)","","",".1000","1.0000","","",".0000","2.0000",""
"91","True","EOSI","False","","","False","","120","Y","(0.03-0.46)","","",".0300",".4600","","",".0000","2.0000",""
"92","True","BASO","True","","","False","","1","Y","(0.02-0.2)","","",".0200",".2000","","",".0000",".3000",""
"93","True","BASO","False","","","False","","120","Y","(0.02-0.1)","","",".0200",".1000","","",".0000",".3000",""
"94","True","LUC","True","","","False","","","","(0.1-0.45)","","",".0000",".4500","","",".0000",".4500",""
"95","True","MYEL","True","","","False","","","","","","","","","","","","",""
"96","True","META","True","","","False","","","","","","","","","","","","",""
"97","True","PROM","True","","","False","","","","","","","","","","","","",""
"98","True","BLST","True","","","False","","","","","","","","","","","","",""
"99","True","RETA","True","","","False","","3","D","(100-450)","","","100.0000","450.0000","","","100.0000","450.0000",""
"100","True","RETA","False","","","False","","1","W","(10-150)","","","10.0000","150.0000","","","10.0000","150.0000",""
"101","True","RETA","False","","","False","","110","Y","(25-125)","","","25.0000","125.0000","","","25.0000","125.0000",""
"102","True","RETP","True","","","False","","","","","","","","","","","","",""
"103","True","LFR","True","","","False","","","","","","","","","","","","",""
"104","True","MFR","True","","","False","","","","","","","","","","","","",""
"105","True","HFR","True","","","False","","","","","","","","","","","","",""
"106","True","RRBC","True","","","False","","","","","","","","","","","","",""
"107","True","IRF","True","","","False","","","","","","","","","","","","",""
"108","True","NRBC","True","","","False","","","","","","","","","","","","",""
"109","True","ESR","True","@[095608]","QTA","False","F","25","Y","(2.0-16)","","","2.0000","16.0000","","","1.0000","30.0000",""
"110","True","ESR","False","@[096408]","QTA","False","F","25","Y","(2.0-16)","","","2.0000","16.0000","","","1.0000","30.0000",""
"111","True","ESR","False","@[095608]","GCA","False","F","25","Y","(2.0-16)","","","2.0000","16.0000","","","1.0000","30.0000",""
"112","True","ESR","False","@[096408]","GCA","False","F","25","Y","(2.0-16)","","","2.0000","16.0000","","","1.0000","30.0000",""
"113","True","ESR","False","@[095608]","TA","False","F","25","Y","(2.0-16)","","","2.0000","16.0000","","","1.0000","30.0000",""
"114","True","ESR","False","@[096408]","TA","False","F","25","Y","(2.0-16)","","","2.0000","16.0000","","","1.0000","30.0000",""
"115","True","ESR","False","","","False","F","25","Y","(2.0-16)","","","2.0000","16.0000","","","1.0000","70.0000",""
"116","True","ESR","False","@[095608]","QTA","False","M","25","Y","(2.0-6)","","","2.0000","6.0000","","","1.0000","30.0000",""
"117","True","ESR","False","@[096408]","QTA","False","M","25","Y","(2.0-6)","","","2.0000","6.0000","","","1.0000","30.0000",""
"118","True","ESR","False","@[095608]","GCA","False","M","25","Y","(2.0-6)","","","2.0000","6.0000","","","1.0000","30.0000",""
"119","True","ESR","False","@[096408]","GCA","False","M","25","Y","(2.0-6)","","","2.0000","6.0000","","","1.0000","30.0000",""
"120","True","ESR","False","@[095608]","TA","False","M","25","Y","(2.0-6)","","","2.0000","6.0000","","","1.0000","30.0000",""
"121","True","ESR","False","@[096408]","TA","False","M","25","Y","(2.0-6)","","","2.0000","6.0000","","","1.0000","30.0000",""
