"TestFormatRangeID","ActiveRange","TestFormatCode","PrimaryCode","ConditionalCode","ConditionalValue","Fasting","Sex","Age","AgeUnits","RangeDescription","PhoneRangeLow","PhoneRangeHigh","FlagRangeLow","FlagRangeHigh","AlertRangeLow","AlertRangeHigh","AuthorisationRangeLow","AuthorisationRangeHigh","DateValidFrom"
"488","True","FQ","True","","","False","","7","D","(55-85)","","","55.0000","85.0000","","","","",""
"489","True","FQ","False","","","False","","3","M","(<40)","","","","","","","","",""
"490","True","FQ","False","","","False","","6","M","(<8)","","","","","","","","",""
"491","True","FQ","False","","","False","","1","Y","(<2)","","","","","","","","",""
"492","True","FQ","False","","","False","","120","Y","(<1)","","","","","","","","",""
"493","True","BFQ","True","","","False","","","","","","","","","","","","",""
"494","True","SQ","True","","","False","","","","","","","","","","","","",""
"495","True","CQ","True","","","False","","","","","","","","","","","","",""
"496","True","DQ","True","","","False","","","","","","","","","","","","",""
"497","True","VAR","True","","","False","","","","","","","","","","","","",""
"498","True","OF","True","","","False","","","","(NORMAL)","","","","","","","","",""
"499","True","MCF","True","","","False","","","","","","","","","","","","",""
"500","True","IOF","True","","","False","","","","","","","","","","","","",""
"501","True","IMCF","True","","","False","","","","(0.465-0.59)","","",".4650",".5900","","","","",""
"502","True","IEF","True","","","False","","","","","","","","","","","","",""
"503","True","GCE","True","","","False","","","","","","","","","","","","",""
"504","True","GCEL","True","","","False","","","","","","","","","","","","",""
"505","True","GCEA","True","","","False","","","","","","","","","","","","",""
"506","True","HBHB","True","","","False","","","","(NEGATIVE)","","","","","","","","",""
"507","True","UHAE","True","","","False","","","","","","","","","","","","",""
"508","True","HAH","True","","","False","","","","","","","","","","","","",""
"509","True","PNH","True","","","False","","","","","","","","","","","","",""
"510","True","HAMS","True","","","False","","","","","","","","","","","","",""
"511","True","RGL","True","","","False","","","","(49-90)","","","49.0000","90.0000","","","","",""
"512","True","SLT","True","","","False","","","","","","","","","","","","",""
"513","True","SCH","True","","","False","","","","","","","","","","","","",""
"514","True","SC1","True","","","False","","","","","","","","","","","","",""
"515","True","SC2","True","","","False","","","","","","","","","","","","",""
"516","True","SCC","True","","","False","","","","","","","","","","","","",""
"517","True","PHB","True","","","False","","","","","","","","","","","","",""
"518","True","SCT","True","","","False","","","","","","","","","","","","",""
"519","True","AUCO","True","","","False","","","","","","","","","","","","",""
"520","True","AUGL","True","","","False","","","","","","","","","","","","",""
"521","True","AUAA","True","","","False","","","","","","","","","","","","",""
"522","True","ENA","True","","","False","","","","","","","","","","","","",""
"523","True","NABP","True","","","False","","","","","","","","","","","","",""
"524","True","NABT","True","","","False","","","","","","","","","","","","",""
"525","True","NDNA","True","","","False","","","","(0-20)","","",".0000","20.0000","","",".0000","20.0000",""
"526","True","MIT","True","","","False","","","","","","","","","","","","",""
"527","True","SM","True","","","False","","","","","","","","","","","","",""
"528","True","PCA","True","","","False","","","","","","","","","","","","",""
"529","True","IFA","True","","","False","","","","","","","","","","","","",""
"530","True","TESA","True","","","False","","","","","","","","","","","","",""
"531","True","ISCA","True","","","False","","","","","","","","","","","","",""
"532","True","SKA","True","","","False","","","","","","","","","","","","",""
"533","True","SGA","True","","","False","","","","","","","","","","","","",""
"534","True","FSRT","True","","","False","","","","(0.26 - 1.65)","","","","","","","","",""
"535","True","SMAB","True","","","False","","","","","","","","","","","","",""
"536","True","LCTA","True","","","False","","","","","","","","","","","","",""
"537","True","CTSC","True","","","False","","","","","","","","","","","","",""
"538","True","LAAB","True","","","False","","","","","","","","","","","","",""
"539","True","ABAC","True","","","False","","","","","","","","","","","","",""
"540","True","APHO","True","","","False","","","","","","","","","","","","",""
"541","True","ACRA","True","","","False","","","","(<0.2)","","","","","","","","",""
"542","True","ACEA","True","","","False","","","","","","","","","","","","",""
"543","True","ADR","True","","","False","","","","","","","","","","","","",""
"544","True","AGAR","True","","","False","","","","","","","","","","","","",""
"545","True","CENT","True","","","False","","","","","","","","","","","","",""
"546","True","CANC","True","","","False","","","","","","","","","","","","",""
"547","True","PANC","True","","","False","","","","","","","","","","","","",""
"548","True","BCR","True","","","False","","","","","","","","","","","","",""
"549","True","PABL","True","","","False","","","","","","","","","","","","",""
"550","True","C1EI","True","","","False","","","","(0.15-0.35)","","",".1500",".3500","","","","",""
"551","True","C1EF","True","","","False","","","","(41-100)","","","41.0000","100.0000","","","","",""
"552","True","EAB","True","","","False","","","","","","","","","","","","",""
"553","True","TTG","True","","","False","","","","(<10)","","",".0000","9.9000","","","","",""
"554","True","TTGA","True","","","False","","","","(0-6.9)","","",".0000","6.9000","","",".0000","6.9000",""
"555","True","RO","True","","","False","","","","","","","","","","","","",""
"556","True","LA","True","","","False","","","","","","","","","","","","",""
"557","True","RNP","True","","","False","","","","","","","","","","","","",""
"558","True","ASM","True","","","False","","","","","","","","","","","","",""
"559","True","SCL","True","","","False","","","","","","","","","","","","",""
"560","True","JO","True","","","False","","","","","","","","","","","","",""
"561","True","GAD","True","","","False","","","","(0.00-11)","","",".0000","1.0000","","","","",""
"562","True","DDNA","True","","","False","","","","(0-20)","","",".0000","20.0000","","","","",""
"563","True","GBM","True","","","False","","","","","","","","","","","","",""
"564","True","IAF","True","","","False","","","","","","","","","","","","",""
"565","True","GLIA","True","","","False","","","","","","","","","","","","",""
"566","True","GLIG","True","","","False","","","","","","","","","","","","",""
"567","True","PIAN","True","","","False","","","","","","","","","","","","",""
"568","True","PNAB","True","","","False","","","","","","","","","","","","",""
"569","True","ROO","True","","","False","","","","","","","","","","","","",""
"570","True","MAST","True","","","False","","","","(0-11.6)","","","","","","","","",""
"571","True","ICOM","True","","","False","","","","","","","","","","","","",""
"572","True","HIAB","True","","","False","","","","","","","","","","","","",""
"573","True","PNEA","True","","","False","","","","","","","","","","","","",""
"574","True","HPAB","True","","","False","","","","","","","","","","","","",""
"575","True","IGD","True","","","False","","","","(2-100)","","","","","","","","",""
"576","True","IGE","True","","","False","","","","(0-107 kU/L)","","",".0000","107.0000","","",".0000","107.0000",""
"577","True","IGDE","True","","","False","","","","","","","","","","","","",""
"578","True","ASF","True","","","False","","","","","","","","","","","","",""
"579","True","HDM","True","","","False","","","","","","","","","","","","",""
"580","True","INIM","True","","","False","","","","","","","","","","","","",""
"581","True","JAK2","True","","","False","","","","","","","","","","","","",""
"582","True","PHCH","True","","","False","","","","","","","","","","","","",""
"583","True","RQP","True","","","False","","","","","","","","","","","","",""
"584","True","RTP","True","","","False","","","","","","","","","","","","",""
"585","True","TGR","True","","","False","","","","","","","","","","","","",""
"586","True","NBE","True","","","False","","","","","","","","","","","","",""
"587","True","NEU","True","","","False","","","","","","","","","","","","",""
"588","True","VGAC","True","","","False","","","","(0-45)","","",".0000","45.0000","","",".0000","45.0000",""
"589","True","VGAK","True","","","False","","","","","","",".0000","100.0000","","",".0000","100.0000",""
"590","True","FSY","True","","","False","","","","","","","","","","","","",""
"591","True","DRN","True","","","False","","","","","","","","","","","","",""
"592","True","NAN","True","","","False","","","","","","","","","","","","",""
"593","True","NAT","True","","","False","","","","","","","","","","","","",""
"594","True","NFT","True","","","False","","","","","","","","","","","","",""
"595","True","DRT","True","","","False","","","","","","","","","","","","",""
"596","True","PAA","True","","","False","","","","","","","","","","","","",""
"597","True","PRF","True","","","False","","","","","","","","","","","","",""
"598","True","PTXP","True","","","False","","","","","","","","","","","","",""
"599","True","HSID","True","","","False","","","","","","","","","","","","",""
"600","True","CSC","True","","","False","","","","","","","","","","","","",""
"601","True","APP","True","","","False","","","","","","","","","","","","",""
"602","True","LAPP","True","","","False","","","","","","","","","","","","",""
"603","True","LAPC","True","","","False","","","","","","","","","","","","",""
"604","True","DEST","True","","","False","","","","","","","","","","","","",""
"605","True","PAS","True","","","False","","","","","","","","","","","","",""
"606","True","PERO","True","","","False","","","","","","","","","","","","",""
"607","True","SBL","True","","","False","","","","","","","","","","","","",""
"608","True","LYS","True","","","False","","","","","","","","","","","","",""
"609","True","BMK","True","","","False","","","","","","","","","","","","",""
"610","True","TMK","True","","","False","","","","","","","","","","","","",""
"611","True","NLMK","True","","","False","","","","","","","","","","","","",""
"612","True","DMK","True","","","False","","","","","","","","","","","","",""
"613","True","MYMK","True","","","False","","","","","","","","","","","","",""
"614","True","EPO","True","","","False","","","","(5-25)","","","5.0000","25.0000","","","","",""
"615","True","MPO","True","","","False","","","","(0-19.9 CU)","","","","","","","","",""
"616","True","PR3","True","","","False","","","","(0-19.9 CU)","","","","","","","","",""
"617","True","CD1","True","","","False","","","","","","","","","","","","",""
"618","True","CD2","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"619","True","CD3","True","","","False","","7","D","(0.6-5.0)","","",".6000","5.0000","","",".0000","10.0000",""
"620","True","CD3","False","","","False","","9","M","(2.3-7.0)","","","2.3000","7.0000","","",".0000","10.0000",""
"621","True","CD3","False","","","False","","2","Y","(1.4-8.0)","","","1.4000","8.0000","","",".0000","10.0000",""
"622","True","CD3","False","","","False","","10","Y","(0.7-4.5)","","",".7000","4.5000","","",".0000","10.0000",""
"623","True","CD3","False","","","False","","16","Y","(0.8-3.5)","","",".8000","3.5000","","",".0000","10.0000",""
"624","True","CD3","False","","","False","","50","Y","(0.8-2.6)","","",".8000","2.6000","","",".0000","10.0000",""
"625","True","CD3","False","","","False","","110","Y","(0.55-2.4)","","",".5500","2.4000","","",".0000","10.0000",""
"626","True","C3%","True","","","False","","7","D","(600-5000)","","","600.0000","5000.0000","","",".0000","10000.0000",""
"627","True","C3%","False","","","False","","9","M","(2300-7000)","","","2300.0000","7000.0000","","",".0000","10000.0000",""
"628","True","C3%","False","","","False","","2","Y","(1400-8000)","","","1400.0000","8000.0000","","",".0000","10000.0000",""
"629","True","C3%","False","","","False","","10","Y","(700-4500)","","","700.0000","4500.0000","","",".0000","10000.0000",""
"630","True","C3%","False","","","False","","16","Y","(800-3500)","","","800.0000","3500.0000","","",".0000","10000.0000",""
"631","True","C3%","False","","","False","","50","Y","(800-2600)","","","800.0000","2600.0000","","",".0000","10000.0000",""
"632","True","C3%","False","","","False","","110","Y","(550-2400)","","","550.0000","2400.0000","","",".0000","10000.0000",""
"633","True","CD4","True","","","False","","7","D","(0.4-3.5)","","",".4000","3.5000","","",".0000","10.0000",""
"634","True","CD4","False","","","False","","9","M","(1.4-5.3)","","","1.4000","5.3000","","",".0000","10.0000",""
"635","True","CD4","False","","","False","","2","Y","(0.9-5.5)","","",".9000","5.5000","","",".0000","10.0000",""
"636","True","CD4","False","","","False","","10","Y","(0.3-2.4)","","",".3000","2.4000","","",".0000","10.0000",""
"637","True","CD4","False","","","False","","16","Y","(0.4-2.1)","","",".4000","2.1000","","",".0000","10.0000",""
"638","True","CD4","False","","","False","","50","Y","(0.45-1.7)","","",".4500","1.7000","","",".0000","10.0000",""
"639","True","CD4","False","","","False","","110","Y","(0.32-1.5)","","",".3200","1.5000","","",".0000","10.0000",""
"640","True","CD4C","True","","","False","","7","D","(400-3500)","","","400.0000","3500.0000","","",".0000","10000.0000",""
"641","True","CD4C","False","","","False","","9","M","(1400-5300)","","","1400.0000","5300.0000","","",".0000","10000.0000",""
"642","True","CD4C","False","","","False","","2","Y","(900-5500)","","","900.0000","5500.0000","","",".0000","10000.0000",""
"643","True","CD4C","False","","","False","","10","Y","(300-2400)","","","300.0000","2400.0000","","",".0000","10000.0000",""
"644","True","CD4C","False","","","False","","16","Y","(400-2100)","","","400.0000","2100.0000","","",".0000","10000.0000",""
"645","True","CD4C","False","","","False","","50","Y","(450-1700)","","","450.0000","1700.0000","","",".0000","10000.0000",""
"646","True","CD4C","False","","","False","","110","Y","(320-1500)","","","320.0000","1500.0000","","",".0000","10000.0000",""
"647","True","CD5","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"648","True","CD7","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"649","True","CD8","True","","","False","","7","D","(0.2-1.9)","","",".2000","1.9000","","",".0000","10.0000",""
"650","True","CD8","False","","","False","","9","M","(0.4-2.2)","","",".4000","2.2000","","",".0000","10.0000",""
"651","True","CD8","False","","","False","","2","Y","(0.4-2.3)","","",".4000","2.3000","","",".0000","10.0000",""
"652","True","CD8","False","","","False","","10","Y","(0.3-1.8)","","",".3000","1.8000","","",".0000","10.0000",""
"653","True","CD8","False","","","False","","16","Y","(0.2-1.2)","","",".2000","1.2000","","",".0000","10.0000",""
"654","True","CD8","False","","","False","","50","Y","(0.25-1.1)","","",".2500","1.1000","","",".0000","10.0000",""
"655","True","CD8","False","","","False","","110","Y","(0.15-1.2)","","",".1500","1.2000","","",".0000","10.0000",""
"656","True","C8%","True","","","False","","7","D","(200-1900)","","","200.0000","1900.0000","","",".0000","10000.0000",""
"657","True","C8%","False","","","False","","9","M","(400-2200)","","","400.0000","2200.0000","","",".0000","10000.0000",""
"658","True","C8%","False","","","False","","2","Y","(400-2300)","","","400.0000","2300.0000","","",".0000","10000.0000",""
"659","True","C8%","False","","","False","","10","Y","(300-1800)","","","300.0000","1800.0000","","",".0000","10000.0000",""
"660","True","C8%","False","","","False","","16","Y","(200-1200)","","","200.0000","1200.0000","","",".0000","10000.0000",""
"661","True","C8%","False","","","False","","50","Y","(250-1100)","","","250.0000","1100.0000","","",".0000","10000.0000",""
"662","True","C8%","False","","","False","","110","Y","(150-1200)","","","150.0000","1200.0000","","",".0000","10000.0000",""
"663","True","CD10","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"664","True","C11A","True","","","False","","","","","","","","","","","","",""
"665","True","C11B","True","","","False","","","","","","","","","","","","",""
"666","True","C11C","True","","","False","","","","","","","","","","","","",""
"667","True","CD13","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"668","True","CD14","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"669","True","CD15","True","","","False","","","","","","","","","","","","",""
"670","True","CD16","True","","","False","","","","","","","","","","","","",""
"671","True","CD19","True","","","False","","7","D","(0.04-1.1)","","",".0400","1.1000","","",".0000","10.0000",""
"672","True","CD19","False","","","False","","9","M","(0.6-3.0)","","",".6000","3.0000","","",".0000","10.0000",""
"673","True","CD19","False","","","False","","2","Y","(0.6-3.1)","","",".6000","3.1000","","",".0000","10.0000",""
"674","True","CD19","False","","","False","","10","Y","(0.2-2.1)","","",".2000","2.1000","","",".0000","10.0000",""
"675","True","CD19","False","","","False","","16","Y","(0.2-0.6)","","",".2000",".6000","","",".0000","10.0000",""
"676","True","CD19","False","","","False","","50","Y","(0.07-0.65)","","",".0700",".6500","","",".0000","10.0000",""
"677","True","CD19","False","","","False","","110","Y","(0.06-0.5)","","",".0600",".5000","","",".0000","10.0000",""
"678","True","C19%","True","","","False","","7","D","(40-1100)","","","40.0000","1100.0000","","",".0000","10000.0000",""
"679","True","C19%","False","","","False","","9","M","(600-3000)","","","600.0000","3000.0000","","",".0000","10000.0000",""
"680","True","C19%","False","","","False","","2","Y","(600-3100)","","","600.0000","3100.0000","","",".0000","10000.0000",""
"681","True","C19%","False","","","False","","10","Y","(200-2100)","","","200.0000","2100.0000","","",".0000","10000.0000",""
"682","True","C19%","False","","","False","","16","Y","(200-600)","","","200.0000","600.0000","","",".0000","10000.0000",""
"683","True","C19%","False","","","False","","50","Y","(70-650)","","","70.0000","650.0000","","",".0000","10000.0000",""
"684","True","C19%","False","","","False","","110","Y","(60-500)","","","60.0000","500.0000","","",".0000","10000.0000",""
"685","True","VRAT","True","","","False","","","","(0.8-3.3)","","",".8000","3.3000","","","99999.0000","99999.0000",""
"686","True","2019","True","","","False","","","","(70-650)","","","70.0000","650.0000","","","99999.0000","99999.0000",""
"687","True","NK1","True","","","False","","","","(90-600)","","","90.0000","600.0000","","","99999.0000","99999.0000",""
"688","True","NKA","True","","","False","","7","D","(0.1-1.9)","","",".1000","1.9000","","",".0000","10.0000",""
"689","True","NKA","False","","","False","","9","M","(0.1-1.4)","","",".1000","1.4000","","",".0000","10.0000",""
"690","True","NKA","False","","","False","","2","Y","(0.1-1.4)","","",".1000","1.4000","","",".0000","10.0000",""
"691","True","NKA","False","","","False","","10","Y","(0.09-1)","","",".0900","1.0000","","",".0000","10.0000",""
"692","True","NKA","False","","","False","","16","Y","(0.07-1.2)","","",".0700","1.2000","","",".0000","10.0000",""
"693","True","NKA","False","","","False","","50","Y","(0.09-0.6)","","",".0900",".6000","","",".0000","10.0000",""
"694","True","NKA","False","","","False","","110","Y","(0.12-0.66)","","",".1200",".6600","","",".0000","10.0000",""
"695","True","NKP","True","","","False","","7","D","(100-1900)","","","100.0000","1900.0000","","",".0000","10000.0000",""
"696","True","NKP","False","","","False","","9","M","(100-1400)","","","100.0000","1400.0000","","",".0000","10000.0000",""
"697","True","NKP","False","","","False","","2","Y","(100-1400)","","","100.0000","1400.0000","","",".0000","10000.0000",""
"698","True","NKP","False","","","False","","10","Y","(90-1000)","","","90.0000","1000.0000","","",".0000","10000.0000",""
"699","True","NKP","False","","","False","","16","Y","(70-1200)","","","70.0000","1200.0000","","",".0000","10000.0000",""
"700","True","NKP","False","","","False","","50","Y","(90-600)","","","90.0000","600.0000","","",".0000","10000.0000",""
"701","True","NKP","False","","","False","","110","Y","(120-660)","","","120.0000","660.0000","","",".0000","10000.0000",""
"702","True","CD20","True","","","False","","","","","","","","","","","","",""
"703","True","C20%","True","","","False","","","","","","","","","","","","",""
"704","True","CD22","True","","","False","","","","","","","","","","","","",""
"705","True","CD23","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"706","True","CD25","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"707","True","CD33","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"708","True","CD34","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"709","True","CD38","True","","","False","","","","","","","","","","","","",""
"710","True","CD41","True","","","False","","","","","","","","","","","","",""
"711","True","C42B","True","","","False","","","","","","","","","","","","",""
"712","True","CD45","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"713","True","CD56","True","","","False","","","","","","","","","","","","",""
"714","True","CD57","True","","","False","","","","","","","","","","","","",""
"715","True","CD59","True","","","False","","","","","","","","","","","","",""
"716","True","CD61","True","","","False","","","","","","","","","","","","",""
"717","True","C79A","True","","","False","","","","","","","","","","","","",""
"718","True","C79B","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"719","True","CD80","True","","","False","","","","","","","","","","","","",""
"720","True","C103","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"721","True","C117","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"722","True","C4A8","True","","","False","","","","","","","","","","","","",""
"723","True","1019","True","","","False","","","","","","","","","","","","",""
"724","True","1903","True","","","False","","","","","","","","","","","","",""
"725","True","1911","True","","","False","","","","","","","","","","","","",""
"726","True","1920","True","","","False","","","","","","","","","","","","",""
"727","True","1923","True","","","False","","","","","","","","","","","","",""
"728","True","316","True","","","False","","","","","","","","","","","","",""
"729","True","325","True","","","False","","","","","","","","","","","","",""
"730","True","3413","True","","","False","","","","","","","","","","","","",""
"731","True","3417","True","","","False","","","","","","","","","","","","",""
"732","True","3419","True","","","False","","","","","","","","","","","","",""
"733","True","342","True","","","False","","","","","","","","","","","","",""
"734","True","3433","True","","","False","","","","","","","","","","","","",""
"735","True","347","True","","","False","","","","","","","","","","","","",""
"736","True","356","True","","","False","","","","","","","","","","","","",""
"737","True","357","True","","","False","","","","","","","","","","","","",""
"738","True","48","True","","","False","","","","","","","","","","","","",""
"739","True","519","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"740","True","713","True","","","False","","","","","","","","","","","","",""
"741","True","733","True","","","False","","","","","","","","","","","","",""
"742","True","FTT","True","","","False","","","","","","","","","","","","",""
"743","True","C1TT","True","","","False","","","","","","","","","","","","",""
"744","True","MRD","True","","","False","","","","","","","","","","","","",""
"745","True","STCH","True","","","False","","","","","","","","","","","","",""
"746","True","FFMH","True","","","False","","","","","","","","","","","","",""
"747","True","FMC7","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"748","True","TDT","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"749","True","PG1B","True","","","False","","","","","","","","","","","","",""
"750","True","GC","True","","","False","","","","","","","","","","","","",""
"751","True","MYE","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"752","True","MAC","True","","","False","","","","","","","","","","","","",""
"753","True","SMIG","True","","","False","","","","","","","","","","","","",""
"754","True","CYIG","True","","","False","","","","","","","","","","","","",""
"755","True","SIGP","True","","","False","","","","","","","","","","","","",""
"756","True","SIGG","True","","","False","","","","","","","","","","","","",""
"757","True","SIGA","True","","","False","","","","","","","","","","","","",""
"758","True","SIGM","True","","","False","","","","","","","","","","","","",""
"759","True","SIGD","True","","","False","","","","","","","","","","","","",""
"760","True","KAP","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"761","True","LAM","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"762","True","FKLT","True","","","False","","","","(3.3-19.4)","","","3.3000","19.4000","","","3.3000","19.4000",""
"763","True","FLLT","True","","","False","","","","(5.7-26.3)","","","5.7000","26.3000","","","5.7000","26.3000",""
"764","True","FRT","True","","","False","","","","(0.26-1.65)","","",".2600","1.6500","","",".2600","1.6500",""
"765","True","FSLC","True","","","False","","","","","","","","","","","","",""
"766","True","HB27","True","","","False","","","","","","","","","","","","",""
"767","True","HLDR","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"768","True","HLDA","True","","","False","","","","(0-100)","","","","","","",".0000","100.0000",""
"769","True","DR2","True","","","False","","","","","","","","","","","","",""
"770","True","HLAA","True","","","False","","","","","","","","","","","","",""
"771","True","HLAB","True","","","False","","","","","","","","","","","","",""
"772","True","HLAC","True","","","False","","","","","","","","","","","","",""
"773","True","HLAQ","True","","","False","","","","","","","","","","","","",""
"774","True","VDR","True","","","False","","","","","","","","","","","","",""
"775","True","VCN","True","","","False","","","","","","","","","","","","",""
"776","True","VWPO","True","","","False","","","","","","","","","","","","",""
"777","True","VMR","True","","","False","M","","","(NEGATIVE)","","","","","","","","",""
"778","True","PVNE","True","","","False","M","","",">20","","","","","","","","",""
"779","True","PVPA","True","","","False","M","","","2 - 7 days","","","","","","","","",""
"780","True","PVAG","True","","","False","M","","","<4 hours","","","","","","","","",""
"781","True","PVAR","True","","","False","M","","","<0.1 x 10(6)/ml","","","","","","","","",""
"782","True","SAGE","True","","","False","M","","","(0-120)","","",".0000","120.0000","","","","",""
"783","True","SPH","True","","","False","M","","","(7.2-8.1)","","","7.2000","8.1000","","","","",""
"784","True","SVO","True","","","False","M","","","(1.5-10.0)","","","1.5000","10.0000","","","","",""
"785","True","SMOT","True","","","False","M","","","(>40)","","","41.0000","100.0000","","","","",""
"786","True","SCOU","True","","","False","M","","","(>15)","","","16.0000","99999.0000","","","","",""
"787","True","SMOA","True","","","False","M","","","(>4)","","","5.0000","100.0000","","","","",""
"788","True","SMOB","True","","","False","M","","","(<96)","","",".0000","95.0000","","","","",""
"789","True","SPAA","True","","","False","M","","","(NEGATIVE)","","","","","","","","",""
"790","True","SMIR","True","","","False","M","","","","","","","","","","","",""
"791","True","SVIA","True","","","False","M","","","(>58)","","","58.0000","99999.0000","","","","",""
"792","True","PMOT","True","","","False","M","","","(0 - 100)","","",".0000","100.0000","","","","",""
"793","True","NPMT","True","","","False","M","","","(0 - 100)","","",".0000","100.0000","","","","",""
"794","True","IMOT","True","","","False","M","","","(0 - 100)","","",".0000","100.0000","","","","",""
"795","True","DSOD","True","","","False","","","","(146 - 157)","","","146.0000","157.0000","","","","",""
"796","True","NA","True","@[018210]","TRRU","False","","","","(133 - 146)","121.0000","149.0000","133.0000","146.0000","100.0000","180.0000",".0000","99999.0000",""
"797","True","NA","False","@[018210]","WCRU","False","","","","(133 - 146)","121.0000","149.0000","133.0000","146.0000","100.0000","180.0000",".0000","99999.0000",""
"798","True","NA","False","@[018210]","BHDC","False","","","","(133 - 146)","121.0000","149.0000","133.0000","146.0000","100.0000","180.0000",".0000","99999.0000",""
"799","True","NA","False","","","False","","15","Y","(133 - 146)","131.0000","149.0000","133.0000","146.0000","100.0000","180.0000","125.0000","150.0000","2011-09-01"
"800","True","NA","False","","","False","","120","Y","(133 - 146)","121.0000","149.0000","133.0000","146.0000","100.0000","180.0000","125.0000","150.0000","2011-09-01"
"801","True","NA","False","","","False","","","","(133 - 146)","121.0000","149.0000","133.0000","146.0000","100.0000","180.0000","125.0000","150.0000","2011-09-01"
"802","True","K","True","@[018210]","TRRU","False","","","","(3.5 - 5.3)","2.6000","6.4000","3.5000","5.3000","1.5000","10.0000",".0000","99999.0000","2011-09-01"
"803","True","K","False","@[018210]","BHDC","False","","","","(3.5 - 5.3)","2.6000","6.4000","3.5000","5.3000","1.5000","10.0000","3.0000","99999.0000","2011-09-01"
"804","True","K","False","@[018210]","WCRU","False","","","","(3.5 - 5.3)","2.6000","6.4000","3.5000","5.3000","1.5000","10.0000",".0000","99999.0000","2011-09-01"
"805","True","K","False","","","False","","1","M","(3.4 - 6.0)","2.6000","6.4000","3.4000","6.0000","1.5000","10.0000","3.0000","6.0000","2011-09-01"
"806","True","K","False","","","False","","1","Y","(3.5 - 5.7)","2.6000","6.4000","3.5000","5.7000","1.5000","10.0000","3.0000","6.0000","2011-09-01"
"807","True","K","False","","","False","","16","Y","(3.5 - 5.0)","2.6000","6.4000","3.5000","5.0000","1.5000","10.0000","3.0000","6.0000","2011-09-01"
"808","True","K","False","","","False","","120","Y","(3.5 - 5.3)","2.6000","6.4000","3.5000","5.3000","1.5000","10.0000","3.0000","6.0000","2011-09-01"
"809","True","CL","True","@[018210]","TRRU","False","","","","(95 - 108)","","","95.0000","108.0000","70.0000","130.0000",".0000","99999.0000",""
"810","True","CL","False","@[018210]","WCRU","False","","","","(95 - 108)","","","95.0000","108.0000","70.0000","130.0000",".0000","99999.0000",""
"811","True","CL","False","@[018210]","BHDC","False","","","","(95 - 108)","","","95.0000","108.0000","70.0000","130.0000",".0000","99999.0000",""
"812","True","CL","False","","","False","","","","(95 - 108)","","","95.0000","108.0000","70.0000","130.0000","85.0000","115.0000","2011-09-01"
"813","True","BIC","True","@[018210]","TRRU","False","","","","","11.0000","1000.0000","","","10.0000","50.0000",".0000","99999.0000",""
"814","True","BIC","False","@[018210]","WCRU","False","","","","","11.0000","1000.0000","","","10.0000","50.0000",".0000","99999.0000",""
"815","True","BIC","False","@[018210]","BHDC","False","","","","","11.0000","1000.0000","","","10.0000","50.0000",".0000","99999.0000",""
"816","True","BIC","False","","","False","","16","Y","(19 - 28)","11.0000","1000.0000","19.0000","28.0000","10.0000","50.0000","15.0000","40.0000","2011-09-01"
"817","True","BIC","False","","","False","","120","Y","(22 - 29)","11.0000","1000.0000","22.0000","29.0000","10.0000","50.0000","15.0000","40.0000","2011-09-01"
"818","True","BIC","False","","","False","","","","","11.0000","1000.0000","","","10.0000","50.0000","15.0000","40.0000","2011-09-01"
"819","True","AGAP","True","@[018210]","TRRU","False","","","","(8 - 12)","","","8.0000","12.0000","","",".0000","99999.0000",""
"820","True","AGAP","False","@[018210]","WCRU","False","","","","(8 - 12)","","","8.0000","12.0000","","",".0000","99999.0000",""
"821","True","AGAP","False","@[018210]","BHDC","False","","","","(8 - 12)","","","8.0000","12.0000","","",".0000","99999.0000",""
"822","True","AGAP","False","","","False","","","","(8 - 12)","","","8.0000","12.0000","","",".0000","99999.0000",""
"823","True","AKI","True","","","False","","","","","","","99999.0000","99999.0000","","",".0000",".0000",""
"824","True","AKI2","True","","","False","","","","","99999.0000","99999.0000","","","","","","",""
"825","True","AKI3","True","","","False","","","","","99999.0000","99999.0000","","","","","","",""
